,,,,,,,,APAC,APAC,APAC,APAC,APAC,APAC,APAC,APAC,APAC,APAC,APAC,APAC,EMEA,EMEA,EMEA,EMEA,EMEA,EMEA,EMEA,EMEA,EMEA,EMEA,EMEA,EMEA,EMEA,EMEA,EMEA,NOAM,NOAM,NOAM,NOAM,NOAM,NOAM,NOAM,NOAM,NOAM,NOAM,NOAM
Service Name,Namespace,Geo,Ring,# of Total Regions,# of Major Regions,# of Smaller Regions,# of Cores,Malaysia South,West India,Australia East,Central India,Indonesia Central,Japan East,Japan West,Korea Central,Malaysia West,Southeast Asia,Taiwan North,Hong Kong,Qatar Central,Israel Northwest,France Central,Germany West Central,Italy North,North Europe,Norway East,Poland Central,South Africa North,Spain Central,Sweden Central,Switzerland North,UAE North,West Europe,UK West/South,Brazil South,Canada Central,Central US,East US,East US 2,Mexico Central,North Central US,South Central US,West US,West US 2,West US 3
Call Controller,ic3-calling-callcontroller,APAC,PROD,7,1,6,"27,219",Major,Opportunity,Smaller,Smaller,Opportunity,Smaller,Smaller,Smaller,Opportunity,Opportunity,Opportunity,Out-of-Scope,,,,,,,,,,,,,,,,,,,,,,,,,,
Call Controller,ic3-calling-callcontroller,EMEA,PROD,6,3,3,"35,667",,,,,,,,,,,,,Opportunity,Opportunity,Major,Opportunity,Opportunity,Major,Opportunity,Opportunity,Smaller,Opportunity,Smaller,Opportunity,Smaller,Major,Out-of-Scope,,,,,,,,,,,
Call Controller,ic3-calling-callcontroller,NOAM,PROD,5,3,2,"40,233",,,,,,,,,,,,,,,,,,,,,,,,,,,,Smaller,Opportunity,Smaller,Major,Major,Opportunity,Opportunity,Opportunity,Major,Opportunity,Opportunity
Conversation,ic3-calling-conversation,APAC,PROD,7,0,7,"12,307",Major,Opportunity,Smaller,Smaller,Opportunity,Major,Smaller,Smaller,Opportunity,Opportunity,Opportunity,Out-of-Scope,,,,,,,,,,,,,,,,,,,,,,,,,,
Conversation,ic3-calling-conversation,EMEA,PROD,6,3,3,"13,503",,,,,,,,,,,,,Opportunity,Opportunity,Major,Opportunity,Opportunity,Major,Opportunity,Opportunity,Smaller,Opportunity,Smaller,Opportunity,Smaller,Major,Out-of-Scope,,,,,,,,,,,
Conversation,ic3-calling-conversation,NOAM,PROD,5,4,1,"15,030",,,,,,,,,,,,,,,,,,,,,,,,,,,,Smaller,Opportunity,Smaller,Major,Major,Opportunity,Opportunity,Opportunity,Major,Opportunity,Opportunity
Call Controller Flighting Proxy,ic3-calling-enterpriseproxy,APAC,PROD,7,2,5,"24,296",Smaller,Opportunity,Smaller,Smaller,Opportunity,Smaller,Smaller,Smaller,Opportunity,Opportunity,Opportunity,Out-of-Scope,,,,,,,,,,,,,,,,,,,,,,,,,,
Call Controller Flighting Proxy,ic3-calling-enterpriseproxy,EMEA,PROD,6,3,3,"41,105",,,,,,,,,,,,,Opportunity,Opportunity,Major,Opportunity,Opportunity,Major,Opportunity,Opportunity,Smaller,Opportunity,Smaller,Opportunity,Smaller,Major,Out-of-Scope,,,,,,,,,,,
Call Controller Flighting Proxy,ic3-calling-enterpriseproxy,NOAM,PROD,5,3,2,"44,764",,,,,,,,,,,,,,,,,,,,,,,,,,,,Smaller,Opportunity,Major,Major,Major,Opportunity,Opportunity,Opportunity,Major,Opportunity,Opportunity
SkypeMediaController,ic3-media-mc,APAC,PROD,5,2,3,"40,252",Smaller,Opportunity,Smaller,Smaller,Opportunity,Smaller,Smaller,Smaller,Opportunity,Opportunity,Opportunity,Out-of-Scope,,,,,,,,,,,,,,,,,,,,,,,,,,
SkypeMediaController,ic3-media-mc,EMEA,PROD,7,2,5,"84,585",,,,,,,,,,,,,Opportunity,Opportunity,Major,Opportunity,Opportunity,Major,Opportunity,Opportunity,Smaller,Opportunity,Smaller,Opportunity,Smaller,Major,Out-of-Scope,,,,,,,,,,,
SkypeMediaController,ic3-media-mc,NOAM,PROD,8,3,5,"101,479",,,,,,,,,,,,,,,,,,,,,,,,,,,,Smaller,Opportunity,Opportunity,Major,Major,Opportunity,Opportunity,Major,Major,Opportunity,Opportunity
Messaging API Service,ic3-messaging-mfe,APAC,PROD,7,0,7,"4,896",Major,Opportunity,Smaller,Smaller,Opportunity,Major,Smaller,Opportunity,Opportunity,Opportunity,Opportunity,Out-of-Scope,,,,,,,,,,,,,,,,,,,,,,,,,,
Messaging API Service,ic3-messaging-mfe,EMEA,PROD,5,4,1,"8,156",,,,,,,,,,,,,Opportunity,Opportunity,Opportunity,Opportunity,Opportunity,Major,Opportunity,Opportunity,Smaller,Opportunity,Major,Opportunity,Opportunity,Major,Out-of-Scope,,,,,,,,,,,
Messaging API Service,ic3-messaging-mfe,NOAM,PROD,5,3,2,"57,805",,,,,,,,,,,,,,,,,,,,,,,,,,,,Smaller,Opportunity,Opportunity,Major,Opportunity,Opportunity,Opportunity,Major,Major,Opportunity,Opportunity
Messaging API Service,ic3-messaging-mfeconsumer,APAC,PROD,6,3,3,"8,968",Major,Opportunity,Opportunity,Opportunity,Opportunity,Major,Major,Opportunity,Opportunity,Opportunity,Opportunity,Out-of-Scope,,,,,,,,,,,,,,,,,,,,,,,,,,
Messaging API Service,ic3-messaging-mfeconsumer,EMEA,PROD,7,2,5,"32,102",,,,,,,,,,,,,Opportunity,Opportunity,Opportunity,Opportunity,Opportunity,Major,Opportunity,Opportunity,Opportunity,Opportunity,Major,Opportunity,Opportunity,Major,Out-of-Scope,,,,,,,,,,,
Messaging API Service,ic3-messaging-mfeconsumer,NOAM,PROD,5,3,2,"69,559",,,,,,,,,,,,,,,,,,,,,,,,,,,,Opportunity,Opportunity,Major,Smaller,Major,Opportunity,Opportunity,Smaller,Major,Opportunity,Opportunity
Messaging Thread Service,ic3-messaging-threads,APAC,PROD,3,3,0,"1,938",Major,Opportunity,Smaller,Smaller,Opportunity,Major,Opportunity,Smaller,Opportunity,Opportunity,Opportunity,Out-of-Scope,,,,,,,,,,,,,,,,,,,,,,,,,,
Messaging Thread Service,ic3-messaging-threads,EMEA,PROD,3,3,0,"2,381",,,,,,,,,,,,,Opportunity,Opportunity,Opportunity,Opportunity,Opportunity,Major,Opportunity,Opportunity,Smaller,Opportunity,Smaller,Opportunity,Smaller,Major,Out-of-Scope,,,,,,,,,,,
Messaging Thread Service,ic3-messaging-threads,NOAM,PROD,5,3,2,"2,662",,,,,,,,,,,,,,,,,,,,,,,,,,,,Smaller,Smaller,Smaller,Major,Smaller,Opportunity,Opportunity,Major,Major,Opportunity,Opportunity
